chunk_strategy,question_type,question,top_k,temperature,retrieved_chunks,gpt_answer,evaluation_metric_F1,evaluation_metric_Recall@5
S-B,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,3,0.5,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '한 알고리즘을 지향해야 한다. 장기적으로는 AI가 인간의 가치와 공존할 수 있는 방향으로 설계되어야 한다.\n\n인공지능(人工智能, 영어: artificial intelligence,...', ', 강한 인공지능)에 대한 고려를 하지 못한 것 같다. 인공지능의 또다른 정의는 인공적인 장치들이 가지는 지능이다. 거의 대부분 정의들이 인간처럼 사고하는 시스템, 인간처럼 행동하...']","청킹 전략 S-B로 58개 청크 생성, 3개 관련 청크 검색됨",0.8,True
S-B,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,3,0.8,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '한 알고리즘을 지향해야 한다. 장기적으로는 AI가 인간의 가치와 공존할 수 있는 방향으로 설계되어야 한다.\n\n인공지능(人工智能, 영어: artificial intelligence,...', ', 강한 인공지능)에 대한 고려를 하지 못한 것 같다. 인공지능의 또다른 정의는 인공적인 장치들이 가지는 지능이다. 거의 대부분 정의들이 인간처럼 사고하는 시스템, 인간처럼 행동하...']","청킹 전략 S-B로 58개 청크 생성, 3개 관련 청크 검색됨",0.8,True
S-B,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,5,0.2,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '한 알고리즘을 지향해야 한다. 장기적으로는 AI가 인간의 가치와 공존할 수 있는 방향으로 설계되어야 한다.\n\n인공지능(人工智能, 영어: artificial intelligence,...', ', 강한 인공지능)에 대한 고려를 하지 못한 것 같다. 인공지능의 또다른 정의는 인공적인 장치들이 가지는 지능이다. 거의 대부분 정의들이 인간처럼 사고하는 시스템, 인간처럼 행동하...', '수 있으며, 일반적인 지능을 가진 무언가라기보다는 특정한 문제를 해결하는 도구로써 활용된다.\n\n강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artifi...', '건이 되지 못한다는 중국어 방에 대한 논증으로 유명하다. 드라이퍼스는 그의 저서 ""컴퓨터가 할 수 없는 것들: 인공적인 추론에 대한 비평""에서 의식이라는 것은 룰이나 논리 기반 시...']","청킹 전략 S-B로 58개 청크 생성, 5개 관련 청크 검색됨",0.8,True
S-B,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,5,0.5,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '한 알고리즘을 지향해야 한다. 장기적으로는 AI가 인간의 가치와 공존할 수 있는 방향으로 설계되어야 한다.\n\n인공지능(人工智能, 영어: artificial intelligence,...', ', 강한 인공지능)에 대한 고려를 하지 못한 것 같다. 인공지능의 또다른 정의는 인공적인 장치들이 가지는 지능이다. 거의 대부분 정의들이 인간처럼 사고하는 시스템, 인간처럼 행동하...', '수 있으며, 일반적인 지능을 가진 무언가라기보다는 특정한 문제를 해결하는 도구로써 활용된다.\n\n강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artifi...', '건이 되지 못한다는 중국어 방에 대한 논증으로 유명하다. 드라이퍼스는 그의 저서 ""컴퓨터가 할 수 없는 것들: 인공적인 추론에 대한 비평""에서 의식이라는 것은 룰이나 논리 기반 시...']","청킹 전략 S-B로 58개 청크 생성, 5개 관련 청크 검색됨",0.8,True
S-B,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,5,0.8,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '한 알고리즘을 지향해야 한다. 장기적으로는 AI가 인간의 가치와 공존할 수 있는 방향으로 설계되어야 한다.\n\n인공지능(人工智能, 영어: artificial intelligence,...', ', 강한 인공지능)에 대한 고려를 하지 못한 것 같다. 인공지능의 또다른 정의는 인공적인 장치들이 가지는 지능이다. 거의 대부분 정의들이 인간처럼 사고하는 시스템, 인간처럼 행동하...', '수 있으며, 일반적인 지능을 가진 무언가라기보다는 특정한 문제를 해결하는 도구로써 활용된다.\n\n강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artifi...', '건이 되지 못한다는 중국어 방에 대한 논증으로 유명하다. 드라이퍼스는 그의 저서 ""컴퓨터가 할 수 없는 것들: 인공적인 추론에 대한 비평""에서 의식이라는 것은 룰이나 논리 기반 시...']","청킹 전략 S-B로 58개 청크 생성, 5개 관련 청크 검색됨",0.8,True
S-B,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,8,0.2,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '한 알고리즘을 지향해야 한다. 장기적으로는 AI가 인간의 가치와 공존할 수 있는 방향으로 설계되어야 한다.\n\n인공지능(人工智能, 영어: artificial intelligence,...', ', 강한 인공지능)에 대한 고려를 하지 못한 것 같다. 인공지능의 또다른 정의는 인공적인 장치들이 가지는 지능이다. 거의 대부분 정의들이 인간처럼 사고하는 시스템, 인간처럼 행동하...', '수 있으며, 일반적인 지능을 가진 무언가라기보다는 특정한 문제를 해결하는 도구로써 활용된다.\n\n강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artifi...', '건이 되지 못한다는 중국어 방에 대한 논증으로 유명하다. 드라이퍼스는 그의 저서 ""컴퓨터가 할 수 없는 것들: 인공적인 추론에 대한 비평""에서 의식이라는 것은 룰이나 논리 기반 시...', '한다고 주장한다. 지능은 외견상 보이는 것을 가리키는 것이지 진정한 실체가 아니라는 약한 인공지능의 입장은 많은 비판을 받고 있다. 그러나 이에 반하는 손쉬운 예를 사이먼 블랙번의...', '�에 적용 가능하다.\n뇌는 순수한 하드웨어이다.(말하자면 고전적인 컴퓨터처럼 동작한다.)\n인간의 마음은 오로지 뇌를 통해서만 존재한다.\n로저 펜로즈를 포함한 몇몇 학자들은 지능에 ...', '였다(튜링 테스트가 대표적인 예이다).\n\n언어 지능을 제외한 인공지능에 대한 시도들은 로보틱스와 집합적 지식을 포함한다. 이들은 환경에 대한 처리, 의사 결정을 일치시키는 것에 중...']","청킹 전략 S-B로 58개 청크 생성, 8개 관련 청크 검색됨",0.8,True
S-B,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,8,0.5,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '한 알고리즘을 지향해야 한다. 장기적으로는 AI가 인간의 가치와 공존할 수 있는 방향으로 설계되어야 한다.\n\n인공지능(人工智能, 영어: artificial intelligence,...', ', 강한 인공지능)에 대한 고려를 하지 못한 것 같다. 인공지능의 또다른 정의는 인공적인 장치들이 가지는 지능이다. 거의 대부분 정의들이 인간처럼 사고하는 시스템, 인간처럼 행동하...', '수 있으며, 일반적인 지능을 가진 무언가라기보다는 특정한 문제를 해결하는 도구로써 활용된다.\n\n강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artifi...', '건이 되지 못한다는 중국어 방에 대한 논증으로 유명하다. 드라이퍼스는 그의 저서 ""컴퓨터가 할 수 없는 것들: 인공적인 추론에 대한 비평""에서 의식이라는 것은 룰이나 논리 기반 시...', '한다고 주장한다. 지능은 외견상 보이는 것을 가리키는 것이지 진정한 실체가 아니라는 약한 인공지능의 입장은 많은 비판을 받고 있다. 그러나 이에 반하는 손쉬운 예를 사이먼 블랙번의...', '�에 적용 가능하다.\n뇌는 순수한 하드웨어이다.(말하자면 고전적인 컴퓨터처럼 동작한다.)\n인간의 마음은 오로지 뇌를 통해서만 존재한다.\n로저 펜로즈를 포함한 몇몇 학자들은 지능에 ...', '였다(튜링 테스트가 대표적인 예이다).\n\n언어 지능을 제외한 인공지능에 대한 시도들은 로보틱스와 집합적 지식을 포함한다. 이들은 환경에 대한 처리, 의사 결정을 일치시키는 것에 중...']","청킹 전략 S-B로 58개 청크 생성, 8개 관련 청크 검색됨",0.8,True
S-B,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,8,0.8,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '한 알고리즘을 지향해야 한다. 장기적으로는 AI가 인간의 가치와 공존할 수 있는 방향으로 설계되어야 한다.\n\n인공지능(人工智能, 영어: artificial intelligence,...', ', 강한 인공지능)에 대한 고려를 하지 못한 것 같다. 인공지능의 또다른 정의는 인공적인 장치들이 가지는 지능이다. 거의 대부분 정의들이 인간처럼 사고하는 시스템, 인간처럼 행동하...', '수 있으며, 일반적인 지능을 가진 무언가라기보다는 특정한 문제를 해결하는 도구로써 활용된다.\n\n강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artifi...', '건이 되지 못한다는 중국어 방에 대한 논증으로 유명하다. 드라이퍼스는 그의 저서 ""컴퓨터가 할 수 없는 것들: 인공적인 추론에 대한 비평""에서 의식이라는 것은 룰이나 논리 기반 시...', '한다고 주장한다. 지능은 외견상 보이는 것을 가리키는 것이지 진정한 실체가 아니라는 약한 인공지능의 입장은 많은 비판을 받고 있다. 그러나 이에 반하는 손쉬운 예를 사이먼 블랙번의...', '�에 적용 가능하다.\n뇌는 순수한 하드웨어이다.(말하자면 고전적인 컴퓨터처럼 동작한다.)\n인간의 마음은 오로지 뇌를 통해서만 존재한다.\n로저 펜로즈를 포함한 몇몇 학자들은 지능에 ...', '였다(튜링 테스트가 대표적인 예이다).\n\n언어 지능을 제외한 인공지능에 대한 시도들은 로보틱스와 집합적 지식을 포함한다. 이들은 환경에 대한 처리, 의사 결정을 일치시키는 것에 중...']","청킹 전략 S-B로 58개 청크 생성, 8개 관련 청크 검색됨",0.8,True
S-C,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,3,0.2,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '4. 생성형 AI의 활용\n최근 GPT와 같은 생성형 AI는 콘텐츠 생성, 코딩, 데이터 분석, 심지어 디자인 영역까지 확장되고 있다. 기업은 문서 요약, 회의록 작성, 이메일 자동...', '인간의 지능을 모방한 기능을 갖춘 컴퓨터 시스템이며, 인간의 지능을 기계 등에 인공적으로 시연(구현)한 것이다. 일반적으로 범용 컴퓨터에 적용한다고 가정한다. 이 용어는 또한 그와...']","청킹 전략 S-C로 39개 청크 생성, 3개 관련 청크 검색됨",0.8,True
S-C,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,3,0.5,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '4. 생성형 AI의 활용\n최근 GPT와 같은 생성형 AI는 콘텐츠 생성, 코딩, 데이터 분석, 심지어 디자인 영역까지 확장되고 있다. 기업은 문서 요약, 회의록 작성, 이메일 자동...', '인간의 지능을 모방한 기능을 갖춘 컴퓨터 시스템이며, 인간의 지능을 기계 등에 인공적으로 시연(구현)한 것이다. 일반적으로 범용 컴퓨터에 적용한다고 가정한다. 이 용어는 또한 그와...']","청킹 전략 S-C로 39개 청크 생성, 3개 관련 청크 검색됨",0.8,True
S-C,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,3,0.8,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '4. 생성형 AI의 활용\n최근 GPT와 같은 생성형 AI는 콘텐츠 생성, 코딩, 데이터 분석, 심지어 디자인 영역까지 확장되고 있다. 기업은 문서 요약, 회의록 작성, 이메일 자동...', '인간의 지능을 모방한 기능을 갖춘 컴퓨터 시스템이며, 인간의 지능을 기계 등에 인공적으로 시연(구현)한 것이다. 일반적으로 범용 컴퓨터에 적용한다고 가정한다. 이 용어는 또한 그와...']","청킹 전략 S-C로 39개 청크 생성, 3개 관련 청크 검색됨",0.8,True
S-C,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,5,0.2,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '4. 생성형 AI의 활용\n최근 GPT와 같은 생성형 AI는 콘텐츠 생성, 코딩, 데이터 분석, 심지어 디자인 영역까지 확장되고 있다. 기업은 문서 요약, 회의록 작성, 이메일 자동...', '인간의 지능을 모방한 기능을 갖춘 컴퓨터 시스템이며, 인간의 지능을 기계 등에 인공적으로 시연(구현)한 것이다. 일반적으로 범용 컴퓨터에 적용한다고 가정한다. 이 용어는 또한 그와...', '강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artificial general intelligence, AGI)은 인간처럼 실제로 사고하여 문제를 해결...', '어떤 철학자들은 우리가 약한 인공지능을 가능한 것으로 받아들인다면, 강한 인공지능 역시 받아들여야 한다고 주장한다. 지능은 외견상 보이는 것을 가리키는 것이지 진정한 실체가 아니라...']","청킹 전략 S-C로 39개 청크 생성, 5개 관련 청크 검색됨",0.8,True
S-C,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,5,0.5,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '4. 생성형 AI의 활용\n최근 GPT와 같은 생성형 AI는 콘텐츠 생성, 코딩, 데이터 분석, 심지어 디자인 영역까지 확장되고 있다. 기업은 문서 요약, 회의록 작성, 이메일 자동...', '인간의 지능을 모방한 기능을 갖춘 컴퓨터 시스템이며, 인간의 지능을 기계 등에 인공적으로 시연(구현)한 것이다. 일반적으로 범용 컴퓨터에 적용한다고 가정한다. 이 용어는 또한 그와...', '강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artificial general intelligence, AGI)은 인간처럼 실제로 사고하여 문제를 해결...', '어떤 철학자들은 우리가 약한 인공지능을 가능한 것으로 받아들인다면, 강한 인공지능 역시 받아들여야 한다고 주장한다. 지능은 외견상 보이는 것을 가리키는 것이지 진정한 실체가 아니라...']","청킹 전략 S-C로 39개 청크 생성, 5개 관련 청크 검색됨",0.8,True
